sheet,cell,names,label,dv_type,dv_op,dv_formula,status,implemented_in
Income Details,AM148,,,whole,,0,TO_IMPLEMENT,
Income Details,AM149,,,whole,,0,TO_IMPLEMENT,
Income Details,AM150,,,whole,,0,TO_IMPLEMENT,
Income Details,AB148,IncD.Section80EE,5j,whole,,0,TO_IMPLEMENT,
Income Details,AC148,,5j,whole,,0,TO_IMPLEMENT,
Income Details,AD148,,5j,whole,,0,TO_IMPLEMENT,
Income Details,AE148,,5j,whole,,0,TO_IMPLEMENT,
Income Details,AF148,,5j,whole,,0,TO_IMPLEMENT,
Income Details,AG148,,5j,whole,,0,TO_IMPLEMENT,
Income Details,AH148,,5j,whole,,0,TO_IMPLEMENT,
Income Details,AI148,,5j,whole,,0,TO_IMPLEMENT,
Income Details,AJ148,,5j,whole,,0,TO_IMPLEMENT,
Income Details,AK148,,,whole,,0,TO_IMPLEMENT,
Income Details,AL148,,,whole,,0,TO_IMPLEMENT,
Income Details,E7,sheet1.FirstName,First Name,textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,F7,,,textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,G7,,,textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,H7,,,textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,I7,,,textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,J7,,"[For individuals being a RESIDENT (OTHER THAN NOT ORDINARILY RESIDENT) having total income up to Rs.50 lakh and having Income from Salaries, two house propertie",textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,K7,,,textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,L7,,,textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,M7,,,textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,N7,,,textLength,lessThanOrEqual,25,TO_IMPLEMENT,
Income Details,Z18,sheet1.ResidenceName,Name of Premises / Building / Village,textLength,lessThanOrEqual,50,TO_IMPLEMENT,
Income Details,AO176,IncD.TotalTaxPayable,D1,whole,,0,TO_IMPLEMENT,
Income Details,AO178,IncD.TaxPayableOnRebate,D3,whole,,0,TO_IMPLEMENT,
Income Details,AO179,IncD.SurchargeOnTaxPayable,,whole,,0,TO_IMPLEMENT,
Income Details,AO177,IncD.Rebate87A,D2,whole,,0,TO_IMPLEMENT,
Income Details,AP177,,D2,whole,,0,TO_IMPLEMENT,
Income Details,AQ177,,D2,whole,,0,TO_IMPLEMENT,
Income Details,AR177,,D2,whole,,0,TO_IMPLEMENT,
Income Details,AS177,,D2,whole,,0,TO_IMPLEMENT,
Income Details,AT177,,D2,whole,,0,TO_IMPLEMENT,
Income Details,AU177,,D2,whole,,0,TO_IMPLEMENT,
Income Details,AV177,,D2,whole,,0,TO_IMPLEMENT,
Income Details,AW177,,D2,whole,,0,TO_IMPLEMENT,
Income Details,AB155,IncD.Section80GGC,5p,whole,,0,TO_IMPLEMENT,
Income Details,AC155,,5p,whole,,0,TO_IMPLEMENT,
